Time (sec),GHF0.3,GHF0.9,GHF1.5,GHF2.1,TGas0.3,Tgas0.9,Tgas1.5,Tgas2.1
190.6,155.112336,87.0862277,43.58029918,29.2828375,1153.376069,973.3335899,794.7191499,640.6936264
190.7,155.5396603,87.24429809,43.86652766,29.26740587,1153.626442,973.4927084,794.7204129,640.620248
190.8,155.9669846,87.40236847,44.15275614,29.25197423,1153.876815,973.6518268,794.721676,640.5468696
190.9,156.3943088,87.56043886,44.51296785,29.2365426,1154.127189,973.8109452,794.722939,640.4734912
191,156.8216331,87.71850924,45.19707216,29.22111097,1154.377562,973.9700636,794.7242021,640.4001128
191.1,156.6250837,82.9308701,45.88117647,29.20567933,1154.627935,974.1291821,794.7254652,640.3889609
191.2,155.9179701,83.27816176,46.56528078,29.1902477,1154.878308,974.2883005,794.7267282,640.4224567
191.3,155.2108565,83.62545343,47.24938509,29.17481606,1155.128682,974.4474189,794.7279913,640.4559524
191.4,154.5037429,83.9727451,47.9334894,29.15938443,1155.379055,974.6065373,794.7292543,640.4894481
191.5,153.7966292,84.32003676,48.6175937,29.14395279,1155.629428,974.7656558,794.7305174,640.5229438
191.6,153.0895156,84.66732843,40.51698413,29.12852116,1155.879801,974.9247742,794.7317805,640.5564395
191.7,152.382402,85.0146201,43.53238095,29.11308952,1156.130175,975.0838926,794.7330435,640.5899352
191.8,151.6752884,85.36191176,46.54777778,29.09765789,1156.380548,975.2430111,794.7343066,640.6234309
191.9,150.9681748,85.70920343,49.5631746,29.08222625,1156.630921,975.4021295,794.7355696,640.6569266
192,150.2610611,86.0564951,51.05324971,29.06679462,1156.881294,975.5612479,794.7368327,640.6904223
192.1,149.5539475,86.40378676,50.76010616,29.05136298,1153.380346,975.7203663,794.7380958,640.723918
192.2,148.8468339,86.10235662,50.46696261,29.03593135,1149.812677,975.8331396,794.7393588,640.7574137
192.3,148.1397203,85.44113007,50.17381906,29.02049972,1146.245009,975.894031,794.7406219,640.7909094
192.4,147.4326067,84.77990352,49.88067552,29.00506808,1144.987946,975.9549224,794.7418849,640.8244051
192.5,146.7254931,84.11867697,49.58753197,28.98996365,1145.505332,976.0158138,794.743148,640.8579008
192.6,146.8487811,83.45745041,49.29438842,29.01715603,1146.022718,976.0767053,794.7444111,640.8913965
192.7,147.2518403,82.79622386,49.00124487,29.04434841,1146.540104,976.1375967,794.7456741,640.9248922
192.8,147.6548994,82.13499731,48.70810133,29.0715408,1147.05749,976.1984881,794.7469372,640.9583879
192.9,148.0579586,81.47377076,48.41495778,29.09873318,1147.574876,976.2593796,794.7482002,640.9918836
